Category,brand,brand_name_weight,full_price,name,sale_price,store,weight
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Oranges Valencia Organic', ' 1 Count']",$1.49, Oranges Valencia Organic,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Organic Apple', ' 1 Count']",$2.99, Organic Apple,na,Bristol Farms, 1 Count
Fresh Fruits,Organic Gala Apples,"['Organic Gala Apples', ' 1 Each']",$2.49, 1 Each,na,Bristol Farms,na
Fresh Fruits,Small Granny Smith Apples,"['Small Granny Smith Apples', ' 1 Each']",$2.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Saturn,"['Saturn', ' Donut Peaches', ' 1 Count']",$4.99, Donut Peaches,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Plum Organic', ' 1 Count']",$3.99, Plum Organic,na,Bristol Farms, 1 Count
Fresh Fruits,Medjool Dates,"['Medjool Dates', ' 1 Each']",$9.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Valencia Oranges,"['Valencia Oranges', ' 1 Each']",$1.69, 1 Each,na,Bristol Farms,na
Fresh Fruits,Pineapple Golden Pineapple,"['Pineapple Golden Pineapple', ' 1 Count']",$1.99, 1 Count,na,Bristol Farms,na
Fresh Fruits,Pineapple,"['Pineapple', ' 1 Count']",$1.99, 1 Count,na,Bristol Farms,na
Fresh Fruits,Bai5,"['Bai5', ' Bai5 Panama Peach', ' 18 Ounce']",$2.58, Bai5 Panama Peach,$2.00,Bristol Farms, 18 Ounce
Fresh Fruits,Apricots Turkish,"['Apricots Turkish', ' 1 Each']",$9.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Granny Smith Apple Large', ' 1 Count']",$2.99, Granny Smith Apple Large,na,Bristol Farms, 1 Count
Fresh Fruits,Snow Peas,"['Snow Peas', ' 1 Pound']",$6.99, 1 Pound,na,Bristol Farms,na
Fresh Fruits,Loose Seedless Grapes,"['Loose Seedless Grapes', ' 1 Each']",$5.49, 1 Each,na,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Sunflower R/ No Salt Hulled', ' 10.5 Ounce']",$7.99, Sunflower R/ No Salt Hulled,na,Bristol Farms, 10.5 Ounce
Fresh Fruits,Woodstock,"['Woodstock', ' Organic Whole Strawberries', ' 10 Ounce']",$5.99, Organic Whole Strawberries,na,Bristol Farms, 10 Ounce
Fresh Fruits,na,['Cherries Tart Pitted'],$15.99,Cherries Tart Pitted,na,Bristol Farms,na
Fresh Fruits,na,['Apples Dried'],$7.99,Apples Dried,na,Bristol Farms,na
Fresh Fruits,Melon Canary,"['Melon Canary', ' 1 Pound']",$1.49, 1 Pound,na,Bristol Farms,na
Fresh Fruits,Trn,"['Trn', ' Pomegranate Arils', ' 8 Ounce']",$8.49, Pomegranate Arils,na,Bristol Farms, 8 Ounce
Fresh Fruits,Lemons Meyer,"['Lemons Meyer', ' 1 Count']",$4.99, 1 Count,na,Bristol Farms,na
Fresh Fruits,Nature's Path,"[""Nature's Path"", ' Apple Cinnamon Hot Oatmeal', ' 1.76 Ounce']",$4.29, Apple Cinnamon Hot Oatmeal,na,Bristol Farms, 1.76 Ounce
